"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","syllable","syllable_type"
"pavlovia","0","6","0.0-0.0","2","0","4jmezqs5npk3znh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","39232","0.0-1.0","2","0","4jmezqs5npk3znh","[{""page_index"":0,""viewing_time"":11576.200000047684},{""page_index"":1,""viewing_time"":27642}]","39224.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","48319","0.0-2.0","2","0","4jmezqs5npk3znh","","8747.399999976158","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","53570","0.0-3.0-0.0-0.0","2","0","4jmezqs5npk3znh","","5246.200000047684","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","55206","0.0-3.0-0.0-1.0","2","0","4jmezqs5npk3znh","","1381.2999999523163","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","56813","0.0-3.0-0.0-2.0","2","0","4jmezqs5npk3znh","","1171","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","58149","0.0-3.0-1.0-0.0","2","0","4jmezqs5npk3znh","","1333.1999999284744","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","58910","0.0-3.0-1.0-1.0-0.0","2","0","4jmezqs5npk3znh","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","63297","0.0-3.0-1.0-1.0-1.0","2","0","4jmezqs5npk3znh","","4392","","audCalib/t1_1.mp3","2","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","64061","0.0-3.0-1.0-1.0-0.1","2","0","4jmezqs5npk3znh","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","68451","0.0-3.0-1.0-1.0-1.1","2","0","4jmezqs5npk3znh","","4389","","audCalib/t1_2.mp3","1","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","69216","0.0-3.0-1.0-1.0-0.2","2","0","4jmezqs5npk3znh","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","73605","0.0-3.0-1.0-1.0-1.2","2","0","4jmezqs5npk3znh","","4389","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","74361","0.0-3.0-1.0-1.0-0.3","2","0","4jmezqs5npk3znh","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
