"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation"
"pavlovia","0","4","0.0-0.0","2","0","r83c3hgfwq6xrnd","","","","","","","","",""
"instructions","1","43215","0.0-1.0","2","0","r83c3hgfwq6xrnd","[{""page_index"":0,""viewing_time"":4986.900000035763},{""page_index"":1,""viewing_time"":38225.5}]","43216.200000047684","","","","","","",""
"external-html","2","81062","0.0-2.0","2","0","r83c3hgfwq6xrnd","","37626.80000001192","consent/consent.html","","","","","",""
"html-button-response","3","83518","0.0-3.0-0.0-0.0","2","0","r83c3hgfwq6xrnd","","2454.5","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","",""
"html-button-response","4","86169","0.0-3.0-0.0-1.0","2","0","r83c3hgfwq6xrnd","","2396.800000011921","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","",""
"audio-button-response","5","95967","0.0-3.0-0.0-2.0","2","0","r83c3hgfwq6xrnd","","9360","","audCalib/volumetest.mp3","0","","","",""
"html-button-response","6","105821","0.0-3.0-1.0-0.0","2","0","r83c3hgfwq6xrnd","","9865.100000023842","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","",""
"html-keyboard-response","7","106595","0.0-3.0-1.0-1.0-0.0","2","0","r83c3hgfwq6xrnd","","null","","<div style=""font-size:60px;"">+</div>","","null","","",""
"audio-button-response","8","112372","0.0-3.0-1.0-1.0-1.0","2","0","r83c3hgfwq6xrnd","","5771","","audCalib/t2_2.mp3","2","","1","0","headphone-test"
"html-keyboard-response","9","113141","0.0-3.0-1.0-1.0-0.1","2","0","r83c3hgfwq6xrnd","","null","","<div style=""font-size:60px;"">+</div>","","null","","",""
"audio-button-response","10","118172","0.0-3.0-1.0-1.0-1.1","2","0","r83c3hgfwq6xrnd","","5029","","audCalib/t1_2.mp3","2","","0","0","headphone-test"
"html-keyboard-response","11","118931","0.0-3.0-1.0-1.0-0.2","2","0","r83c3hgfwq6xrnd","","null","","<div style=""font-size:60px;"">+</div>","","null","","",""
"audio-button-response","12","123962","0.0-3.0-1.0-1.0-1.2","2","0","r83c3hgfwq6xrnd","","5029","","audCalib/t3_2.mp3","1","","2","0","headphone-test"
"html-keyboard-response","13","124733","0.0-3.0-1.0-1.0-0.3","2","0","r83c3hgfwq6xrnd","","null","","<div style=""font-size:60px;"">+</div>","","null","","",""
"audio-button-response","14","129822","0.0-3.0-1.0-1.0-1.3","2","0","r83c3hgfwq6xrnd","","5091","","audCalib/t1_1.mp3","1","","0","0","headphone-test"
"html-keyboard-response","15","130590","0.0-3.0-1.0-1.0-0.4","2","0","r83c3hgfwq6xrnd","","null","","<div style=""font-size:60px;"">+</div>","","null","","",""
"audio-button-response","16","135436","0.0-3.0-1.0-1.0-1.4","2","0","r83c3hgfwq6xrnd","","4851","","audCalib/t3_1.mp3","0","","2","0","headphone-test"
"html-keyboard-response","17","136201","0.0-3.0-1.0-1.0-0.5","2","0","r83c3hgfwq6xrnd","","null","","<div style=""font-size:60px;"">+</div>","","null","","",""
"audio-button-response","18","140866","0.0-3.0-1.0-1.0-1.5","2","0","r83c3hgfwq6xrnd","","4669","","audCalib/t2_1.mp3","0","","1","0","headphone-test"
"html-button-response","19","143567","0.0-3.0-2.0","2","0","r83c3hgfwq6xrnd","","2440.900000035763","","<p>The volume calibration and headphone check are now complete.</p>","0","","","",""
