"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","16","0.0-0.0","3","0","l82do2j8d0wvpgk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","53509","0.0-1.0","3","0","l82do2j8d0wvpgk","[{""page_index"":0,""viewing_time"":33142.63999997638},{""page_index"":1,""viewing_time"":20335.880000027828}]","53493.29500005115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","67788","0.0-2.0","3","0","l82do2j8d0wvpgk","","14130.78999996651","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","94031","0.0-3.0-0.0-0.0","3","0","l82do2j8d0wvpgk","","26235.854999977164","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","102930","0.0-3.0-0.0-1.0","3","0","l82do2j8d0wvpgk","","8640.124999918044","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","115540","0.0-3.0-0.0-2.0","3","0","l82do2j8d0wvpgk","","12107","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","129097","0.0-3.0-1.0-0.0","3","0","l82do2j8d0wvpgk","","13555.58500008192","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","129859","0.0-3.0-1.0-1.0-0.0","3","0","l82do2j8d0wvpgk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","138447","0.0-3.0-1.0-1.0-1.0","3","0","l82do2j8d0wvpgk","","8571","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","139207","0.0-3.0-1.0-1.0-0.1","3","0","l82do2j8d0wvpgk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","144193","0.0-3.0-1.0-1.0-1.1","3","0","l82do2j8d0wvpgk","","4987","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","144955","0.0-3.0-1.0-1.0-0.2","3","0","l82do2j8d0wvpgk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","149344","0.0-3.0-1.0-1.0-1.2","3","0","l82do2j8d0wvpgk","","4389","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","150102","0.0-3.0-1.0-1.0-0.3","3","0","l82do2j8d0wvpgk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","154526","0.0-3.0-1.0-1.0-1.3","3","0","l82do2j8d0wvpgk","","4416","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","155285","0.0-3.0-1.0-1.0-0.4","3","0","l82do2j8d0wvpgk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","159710","0.0-3.0-1.0-1.0-1.4","3","0","l82do2j8d0wvpgk","","4421","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
