"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress"
"pavlovia","0","3","0.0-0.0","2","1","q4qs86cjwweeet5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","7130","0.0-1.0","2","1","q4qs86cjwweeet5","[{""page_index"":0,""viewing_time"":3507.300000011921},{""page_index"":1,""viewing_time"":3612.199999988079}]","7126.800000011921","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","924296","0.0-2.0","2","1","q4qs86cjwweeet5","","807639.900000006","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","2295361","0.0-3.0-0.0-0.0","2","1","q4qs86cjwweeet5","","1226460.199999988","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2300714","0.0-3.0-0.0-1.0","2","1","q4qs86cjwweeet5","","5092.4000000059605","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","2313620","0.0-3.0-0.0-2.0","2","1","q4qs86cjwweeet5","","12597","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","2373804","0.0-3.0-1.0-0.0","2","1","q4qs86cjwweeet5","","60177.19999998808","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2374566","0.0-3.0-1.0-1.0-0.0","2","1","q4qs86cjwweeet5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","2379273","0.0-3.0-1.0-1.0-1.0","2","1","q4qs86cjwweeet5","","4651","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2380030","0.0-3.0-1.0-1.0-0.1","2","1","q4qs86cjwweeet5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
