"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"pavlovia","0","3","0.0-0.0","3","1","4kw6cl76hatyejp","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","5887","0.0-1.0","3","1","4kw6cl76hatyejp","[{""page_index"":0,""viewing_time"":2583},{""page_index"":1,""viewing_time"":3292}]","5884","","","","","","","","","","","","","","","","","","","",""
"external-html","2","9799","0.0-2.0","3","1","4kw6cl76hatyejp","","3908.999999999998","consent/consent.html","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","12312","0.0-3.0-0.0-0.0","3","1","4kw6cl76hatyejp","","2510.000000000002","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-button-response","4","14273","0.0-3.0-0.0-1.0","3","1","4kw6cl76hatyejp","","1708","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","",""
"audio-button-response","5","16617","0.0-3.0-0.0-2.0","3","1","4kw6cl76hatyejp","","1773","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","",""
"html-button-response","6","17872","0.0-3.0-1.0-0.0","3","1","4kw6cl76hatyejp","","1253.9999999999964","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","18624","0.0-3.0-1.0-1.0-0.0","3","1","4kw6cl76hatyejp","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","8","23145","0.0-3.0-1.0-1.0-1.0","3","1","4kw6cl76hatyejp","","4520","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","9","23896","0.0-3.0-1.0-1.0-0.1","3","1","4kw6cl76hatyejp","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","10","27711","0.0-3.0-1.0-1.0-1.1","3","1","4kw6cl76hatyejp","","3813","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","11","28464","0.0-3.0-1.0-1.0-0.2","3","1","4kw6cl76hatyejp","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","12","32158","0.0-3.0-1.0-1.0-1.2","3","1","4kw6cl76hatyejp","","3693","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","",""
