"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"pavlovia","0","2","0.0-0.0","1","0","hvcwomzzob0x9rq","","","","","","","","","","",""
"instructions","1","6602","0.0-1.0","1","0","hvcwomzzob0x9rq","[{""page_index"":0,""viewing_time"":2275.399999976158},{""page_index"":1,""viewing_time"":4321.5}]","6600.199999928474","","","","","","","","",""
"external-html","2","9235","0.0-2.0","1","0","hvcwomzzob0x9rq","","2506.600000023842","consent/consent.html","","","","","","","",""
"html-button-response","3","10371","0.0-3.0-0.0-0.0","1","0","hvcwomzzob0x9rq","","1132.5","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","",""
"html-button-response","4","12060","0.0-3.0-0.0-1.0","1","0","hvcwomzzob0x9rq","","1436","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","",""
"audio-button-response","5","42317","0.0-3.0-0.0-2.0","1","0","hvcwomzzob0x9rq","","null","","audCalib/volumetest.mp3","null","","","","","",""
"html-button-response","6","1437227","0.0-3.0-1.0-0.0","1","0","hvcwomzzob0x9rq","","598300.1000000238","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","",""
"html-keyboard-response","7","1437987","0.0-3.0-1.0-1.0-0.0","1","0","hvcwomzzob0x9rq","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","8","1473827","0.0-3.0-1.0-1.0-1.0","1","0","hvcwomzzob0x9rq","","35803","","audCalib/t2_2.mp3","2","","1","0","headphone-test","",""
"html-keyboard-response","9","1474586","0.0-3.0-1.0-1.0-0.1","1","0","hvcwomzzob0x9rq","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","10","1479020","0.0-3.0-1.0-1.0-1.1","1","0","hvcwomzzob0x9rq","","4405","","audCalib/t2_1.mp3","0","","1","0","headphone-test","",""
"html-keyboard-response","11","1479776","0.0-3.0-1.0-1.0-0.2","1","0","hvcwomzzob0x9rq","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","12","1483864","0.0-3.0-1.0-1.0-1.2","1","0","hvcwomzzob0x9rq","","4085","","audCalib/t1_2.mp3","2","","0","0","headphone-test","",""
"html-keyboard-response","13","1484618","0.0-3.0-1.0-1.0-0.3","1","0","hvcwomzzob0x9rq","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","14","1488249","0.0-3.0-1.0-1.0-1.3","1","0","hvcwomzzob0x9rq","","3627","","audCalib/t3_2.mp3","1","","2","0","headphone-test","",""
"html-keyboard-response","15","1489002","0.0-3.0-1.0-1.0-0.4","1","0","hvcwomzzob0x9rq","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","16","1493035","0.0-3.0-1.0-1.0-1.4","1","0","hvcwomzzob0x9rq","","4032","","audCalib/t3_1.mp3","2","","2","1","headphone-test","",""
"html-keyboard-response","17","1493791","0.0-3.0-1.0-1.0-0.5","1","0","hvcwomzzob0x9rq","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","18","1500438","0.0-3.0-1.0-1.0-1.5","1","0","hvcwomzzob0x9rq","","6645","","audCalib/t1_1.mp3","0","","0","1","headphone-test","",""
"html-button-response","19","1503382","0.0-3.0-2.0","1","0","hvcwomzzob0x9rq","","2689.3000000715256","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","",""
"instructions","20","1519703","0.0-4.0-0.0","1","0","hvcwomzzob0x9rq","[{""page_index"":0,""viewing_time"":1705.7999999523163},{""page_index"":1,""viewing_time"":8061.300000071526},{""page_index"":2,""viewing_time"":6553.199999928474}]","16321","","","","","","","","",""
"audio-keyboard-response","21","1520009","0.0-4.0-1.0-0.0","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","22","1526808","0.0-4.0-1.0-1.0","1","0","hvcwomzzob0x9rq","","6797.600000023842","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","23","1527812","0.0-4.0-1.0-2.0","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","24","1528617","0.0-4.0-1.0-0.1","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","25","1532739","0.0-4.0-1.0-1.1","1","0","hvcwomzzob0x9rq","","4120.399999976158","","Was the sound coming from the left or the right?","1","","","0","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","26","1533742","0.0-4.0-1.0-2.1","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
"audio-keyboard-response","27","1534548","0.0-4.0-1.0-0.2","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","",""
"html-button-response","28","1535631","0.0-4.0-1.0-1.2","1","0","hvcwomzzob0x9rq","","1082.0999999046326","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","29","1536633","0.0-4.0-1.0-2.2","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","30","1537439","0.0-4.0-1.0-0.3","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","31","1538240","0.0-4.0-1.0-1.3","1","0","hvcwomzzob0x9rq","","799.7000000476837","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","32","1539244","0.0-4.0-1.0-2.3","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","33","1540047","0.0-4.0-1.0-0.4","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","",""
"html-button-response","34","1540743","0.0-4.0-1.0-1.4","1","0","hvcwomzzob0x9rq","","694.6000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","35","1541746","0.0-4.0-1.0-2.4","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","36","1542548","0.0-4.0-1.0-0.5","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","",""
"html-button-response","37","1543287","0.0-4.0-1.0-1.5","1","0","hvcwomzzob0x9rq","","736.8999999761581","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","38","1544291","0.0-4.0-1.0-2.5","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","39","1545092","0.0-4.0-1.0-0.6","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","",""
"html-button-response","40","1545661","0.0-4.0-1.0-1.6","1","0","hvcwomzzob0x9rq","","567.3999999761581","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","41","1546665","0.0-4.0-1.0-2.6","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","42","1547470","0.0-4.0-1.0-0.7","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/ko_SWS.wav","","null","","","","",""
"html-button-response","43","1548173","0.0-4.0-1.0-1.7","1","0","hvcwomzzob0x9rq","","701.8999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","44","1549179","0.0-4.0-1.0-2.7","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","45","1549988","0.0-4.0-1.0-0.8","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","46","1550643","0.0-4.0-1.0-1.8","1","0","hvcwomzzob0x9rq","","653.7000000476837","","Was the sound coming from the left or the right?","1","","","0","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","47","1551646","0.0-4.0-1.0-2.8","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
